,length,diameter,propeller_diameter,LD_effective,S_wetted,volume,mass_total,mass_payload,mass_structural,mass_propulsion,power,solar_area_fraction,mass_battery,BATTERY_SPECIFIC_ENERGY,S_solar,score
392,100.00000099982526,5.414343924511558,27.05024179037951,24.172788246223394,1324.0763440361293,1534.9361161567763,1626.9407669044558,30.0,197.60794111309727,1390.4352384484796,13486.551276370772,1.9665945384058252,899.1034184247181,225.0,836.277772040889,-0.0
393,100.00000099983698,6.2327052233299165,24.62053810579057,27.669526369455177,1525.333184979257,2034.00399398303,2155.9229619264697,30.0,227.64393575406214,1888.6923223991014,15588.010910711624,1.974576089027373,1385.6009698410332,225.0,966.5856576542782,-0.0
321,100.00000099984048,13.558854937256564,28.064518188384277,87.68885772611117,3348.178480774573,9625.973358424533,10202.957838782604,30.0,499.6892052675988,9662.856947742861,18297.29203191035,1.0654266730918303,8945.34277115617,225.0,1134.5835048013225,-0.0
343,100.00000099984128,11.283038008677055,25.829036072405692,63.74458735692208,2777.3018996450614,6665.776208649916,7065.32535330893,30.0,414.4903824543966,6610.219666409133,18998.320052163817,1.3293792890924288,5910.588460673188,225.0,1178.0530426321657,-0.0
368,100.00000099986035,9.531298681689632,23.84683731162688,47.238511607628844,2340.904644430802,4756.667397142163,5041.783838264872,30.0,349.3615373551569,4651.5775004692405,19803.748654051942,1.6404201164438337,3960.7497308103884,225.0,1227.9962803748735,-0.0
394,100.0000009998645,7.281915234013253,22.98989710225004,32.070485955294515,1783.9512246147424,2776.4500521423847,2942.871517358803,30.0,266.24063644829283,2636.2083193606795,18334.412569038857,1.9878386963046162,2037.1569521154286,225.0,1136.8852852528735,-0.0
322,100.00000099986809,14.223089546215952,27.639222794738874,91.20333825845141,3515.698453141325,10592.208360627148,11227.10933215291,30.0,524.6902386172391,10661.701835416234,19354.13037410242,1.0743343897779372,9892.111080096793,225.0,1200.1162267036416,-0.0
344,100.00000099987187,12.070739622327988,25.29023663515732,67.59531527816766,2974.3697873033157,7628.97848978273,8086.262343133469,30.0,443.90120888827795,7601.321649266598,20499.708858119357,1.340829545544043,6833.236286039786,225.0,1271.1515716691238,-0.0
421,100.00000099988706,5.030250651746395,26.00268945176901,19.800937454499564,1229.7464375874297,1324.8840710836207,1405.7175624916542,30.0,183.5299472854166,1182.726591787289,15193.757839880966,2.3847086894148912,675.2781262169318,225.0,942.1387050614234,-0.0
369,100.00000099989461,10.47512579471639,23.155946877644237,51.42942755775935,2575.724199174911,5745.358337637004,6089.737287324542,30.0,384.4065020621251,5663.8917005153835,21964.68160455377,1.6554856670580944,4881.040356567504,225.0,1361.992003695307,-0.0
395,100.00000099989825,8.378831565117675,21.892711551050063,36.563242067361365,2055.10022526824,3675.9157321121293,3896.2515100630008,30.0,306.7074841458222,3548.290813481605,21277.157026183068,2.0048869938184617,2836.954270157742,225.0,1319.3597909938605,-0.0
323,100.00000099989856,14.908151825258056,27.227057363823167,94.72644560154926,3688.919926138224,11637.139504306906,12334.674044144951,30.0,550.5421759240814,11743.100572801291,20470.19795675067,1.0840716707132716,10917.438910267025,225.0,1269.3216515997312,-0.0
422,100.00000099990444,6.146534284672464,21.649221066600255,24.01390220183069,1504.1231582452372,1978.1501051987873,2096.7211699539125,30.0,224.47850671158915,1831.719005068444,18681.21449459925,2.3995762701514787,1245.41429963995,225.0,1158.3898742099682,-0.0
345,100.00000099990555,12.883730221532776,24.78682951081896,71.45929068770444,3178.3388204599923,8691.242574494587,9212.198938475676,30.0,474.3419768050713,8696.38455450563,22089.058525597757,1.3536155769532339,7853.8874757680915,225.0,1369.7044019424561,-0.0
324,100.00000099993227,15.616716932522731,26.824218441603154,98.25909863844649,3868.5768508082574,12769.62381497105,13535.039891572553,30.0,577.3545535869417,12916.329865679929,21654.095112968305,1.094737667783347,12030.052840537948,225.0,1342.73307130507,-0.0
370,100.00000099993417,11.45221927888138,22.54291935153424,55.64264389167576,2819.582709867251,6867.172181142055,7278.793076503765,30.0,420.8004595841883,6815.951264726408,24265.152211058965,1.6728350707866748,5931.481651592191,225.0,1504.6402162761158,-0.0
396,100.00000099993952,9.519558028845319,21.047351754027726,41.10686275857067,2337.9880188285333,4744.956089655437,5029.370550591936,30.0,348.9262540100099,4638.362071510391,24425.29628198991,2.0257358538733343,3799.490532753986,225.0,1514.5704737673939,-0.0
423,100.0000009999427,7.450572792934577,20.145235420471046,28.82027499890187,1825.5890075317113,2906.5510218891777,3080.7707883999365,30.0,272.4547468293116,2766.6407175233853,22853.799514058246,2.4217455530265606,2031.4488456940664,225.0,1417.124670987708,-0.0
346,100.00000099994386,13.725518832796258,24.308414587672623,75.3371956249397,3390.171504934256,9864.070480281502,10455.32659210743,30.0,505.9563325995566,9907.453395595685,23780.54220932949,1.3678949380683458,8983.76039019114,225.0,1474.5903863195792,-0.0
325,100.00000099997115,16.352038963211463,26.427327153062897,101.80255910566918,4055.5620780594345,14000.464774223774,14839.65792304721,30.0,605.2606225550174,14192.705515398102,22916.39019898128,1.1064557626669274,13240.581003855852,225.0,1421.0058113523064,-0.0
371,100.00000099998228,12.467516226028405,21.980142599589218,59.87751733586552,3073.8417369998515,8138.7650393247,8626.605691096462,30.0,458.7466120756199,8125.202247996961,26730.672936550673,1.692737868286632,7128.179449746845,225.0,1657.522901922174,-0.0
