,Unnamed: 0,airspeed,battery_hours_val,length,diameter,S_solar,score
359,345,12,80,100.00000099990469,12.864208039922747,1367.3102361891015,-0.0
360,324,11,125,100.00000099993144,15.599572722779904,1340.9362292006294,-0.0
361,370,13,55,100.00000099993312,11.429689204248575,1501.3079848904592,-0.0
362,396,14,35,100.00000099993834,9.493176364987406,1509.9945857428072,-0.0
363,423,15,20,100.0000009999415,7.418977887120865,1410.7727802535562,-0.0
364,346,12,85,100.00000099994286,13.70598911086596,1472.1260924503913,-0.0
365,325,11,130,100.00000099996996,16.334702282621087,1419.1373417937216,-0.0
366,371,13,60,100.00000099998104,12.445145141181223,1654.1054074050005,-0.0
367,347,12,90,100.0000009999888,14.580891145655556,1584.363327556996,-0.0
368,397,14,40,100.0000009999908,10.681799218364947,1719.9194874920822,-0.0
369,424,15,25,100.00000099999448,8.792398907161159,1691.905533603061,-0.0
370,449,15,150,100.00000100002346,9.15601181723524,1760.0275950808875,-0.0
371,448,15,145,100.0000010000337,9.349739004883702,1800.61479050678,-0.0
372,372,13,65,100.00000100004496,13.505353284200051,1819.1985943565064,-0.0
373,447,15,140,100.00000100004512,9.553358299031071,1843.51973388168,-0.0
374,348,12,95,100.00000100004904,15.49449558042295,1705.436377654846,-0.0
375,446,15,135,100.00000100005792,9.767366114786263,1888.891722276963,-0.0
376,398,14,45,100.00000100006557,11.925251613452303,1947.734462016241,-0.0
377,445,15,130,100.00000100007249,9.992281128944374,1936.8918258943015,-0.0
378,425,15,30,100.00000100007532,10.23401706186898,1998.36538309981,-0.0
379,327,11,140,100.00000100008282,17.90207339705366,1593.5679007561632,-0.0
380,444,15,125,100.00000100008916,10.2286451513043,1987.6941518073347,-0.0
381,419,14,150,100.00000100009214,12.140034422035477,1979.03874963074,-0.0
382,443,15,120,100.00000100010853,10.477023768748763,2041.487211324126,-0.0
383,418,14,145,100.0000010001114,12.363005322803549,2020.9900951969153,-0.0
384,442,15,115,100.00000100013136,10.738011843849376,2098.476759492972,-0.0
385,417,14,140,100.0000010001337,12.59383697575524,2064.774916788538,-0.0
386,349,12,100,100.00000100014113,16.454004799881666,1837.1947791843077,-0.0
387,373,13,70,100.00000100014633,14.61926188880308,1999.395780084796,-0.0
388,441,15,110,100.00000100015878,11.01223473068062,2158.8878559203554,-0.0
389,416,14,135,100.00000100015984,12.832832900019856,2110.499087697767,-0.0
390,328,11,145,100.00000100018693,18.74575936103658,1692.1774391405263,-0.0
391,415,14,130,100.00000100019118,13.080311427434165,2158.2773562829357,-0.0
392,440,15,105,100.00000100019255,11.300355537479344,2222.968701881889,-0.0
393,399,14,50,100.0000010002002,13.23529351190749,2197.9943884149716,-0.0
394,414,14,125,100.00000100022964,13.336607610180158,2208.234616603675,-0.0
395,439,15,100,100.0000010002354,11.60307754147274,2290.993919370595,-0.0
396,426,15,35,100.00000100023752,11.756246952472488,2336.6700825415583,-0.0
397,413,14,120,100.00000100027832,13.602085408078468,2260.5093206354227,-0.0
398,438,15,95,100.000001000292,11.921149902304329,2363.26916630061,-0.0
399,389,13,150,100.00000100031686,15.558643910676007,2149.220113628601,-0.0
400,350,12,105,100.00000100032958,17.46894424422174,1982.1232967767885,-0.0
401,412,14,115,100.00000100034254,13.87713042402304,2315.253403236835,-0.0
402,437,15,90,100.00000100037114,12.25537693811997,2440.137362013389,-0.0
403,388,13,145,100.00000100038122,15.781412790831128,2187.6038445494896,-0.0
404,329,11,150,100.0000010004168,19.640038431322335,1800.6261120879217,-0.0
405,411,14,110,100.00000100043194,14.162150876118726,2372.6336568161432,-0.0
406,387,13,140,100.00000100046805,16.01000181499041,2227.3812457295858,-0.0
407,436,15,85,100.00000100049084,12.606627512069863,2521.9860527974793,-0.0
408,410,14,105,100.00000100056634,14.457595275073963,2432.837631769422,-0.0
409,386,13,135,100.00000100059256,16.244624480457066,2268.631836387391,-0.0
410,400,14,55,100.0000010006173,14.62897291862784,2477.280253012038,-0.0
411,435,15,80,100.0000010006964,12.975841744588225,2609.255553784663,-0.0
412,409,14,100,100.00000100079436,14.76394040956013,2496.0729955372785,-0.0
413,385,13,130,100.00000100085737,16.485507548627183,2311.442257712061,-0.0
414,427,15,40,100.0000010010471,13.381059452243775,2717.1789694449512,-0.0
415,434,15,75,100.00000100114002,13.36404561925606,2702.4508195568355,-0.0
416,384,13,125,100.00000100114228,16.732892873219317,2355.907278043121,-0.0
417,351,12,110,100.00000100120172,18.552329091502617,2143.677020849519,-0.0
418,408,14,95,100.00000100127356,15.081699930572452,2562.571783392337,-0.0
419,383,13,120,100.00000100199512,16.987038198035687,2402.1307877726094,-0.0
420,375,13,80,100.00000100229518,17.061785317596012,2422.235877285865,-0.0
421,433,15,70,100.00000100286324,13.772359938181484,2802.1546047651404,-0.0
422,407,14,90,100.00000100297083,15.411436646759489,2632.597116115164,-0.0
423,382,13,115,100.00000100701996,17.248218865840293,2450.2269287615272,-0.0
424,301,11,10,100.42429930914096,14.885767797657978,1261.5606672008391,-0.0
425,359,12,150,100.6129878480159,19.28305592118518,2259.853522572902,-0.0
426,401,14,60,101.4256284304428,16.049685272247086,2802.2220458775073,-0.0
427,352,12,115,101.56000494988304,19.53224464652697,2315.0008578524735,-0.0
428,406,14,85,101.96606849020424,16.166825642157686,2829.891327969752,-0.0
429,432,15,65,102.70643296849612,14.71685320895739,3092.0740476508213,-0.0
430,376,13,85,103.07825789266552,18.15419604370024,2670.8870708422205,-0.0
431,428,15,45,103.69525633653085,14.991083577747755,3192.0343730538098,-0.0
432,353,12,120,104.61827588838422,20.357608443485603,2486.1950844573444,-0.0
433,381,13,110,105.36293348826725,18.746711562321924,2815.0075703766206,-0.0
434,402,14,65,106.54365265197686,17.31695450679278,3178.905211678974,-0.0
435,377,13,90,107.0747514453253,19.186949220928515,2933.975118912825,-0.0
436,354,12,125,107.68755230348576,21.187391823385564,2664.298705002375,-0.0
437,358,12,145,109.60679484754075,21.716156137690913,2777.496277569944,-0.0
438,429,15,50,110.20100265012287,16.546344733406237,3749.932298121155,-0.0
439,405,14,80,110.70207548728392,18.34768884974848,3497.312605185694,-0.0
440,355,12,130,110.7687902532084,22.021575615092175,2849.420171148647,-0.0
441,378,13,95,111.0965454297254,20.22867074102627,3211.5453931912525,-0.0
442,431,15,60,111.25888606495752,16.78596537289748,3834.488796014826,-0.0
443,403,14,70,111.71236064533488,18.60131824837317,3584.1384846178935,-0.0
444,356,12,135,113.86294932417697,22.86014368335738,3041.671619179299,-0.0
445,380,13,105,113.98429662928046,20.9817271426197,3417.3875869273666,-0.0
446,379,13,100,115.14626416442302,21.279427069135224,3503.999957958088,-0.0
447,430,15,55,116.81339381781537,18.13339130273011,4364.190686464734,-0.0
448,404,14,75,116.93822463152814,19.903162760670632,4019.199717293648,-0.0
449,357,12,140,116.97100023947722,23.70308090025311,3241.1687013375217,-0.0
140,214,8,25,19.8034070926447,3.96603349971996,52.73084270816575,-0.0001141552511415
150,187,7,40,21.007818541024328,4.19231051500672,43.71787608681971,-0.0001141552511415
184,143,5,120,25.351561951469648,5.026604016279489,30.650469026733145,-0.0001141552511415
262,271,10,10,46.565319082943034,2.6341271718013286,96.33613187997464,-0.0001141552511415
302,300,11,5,100.00000099955808,5.564881897684543,438.27290035916354,-0.0001141552511415
155,161,6,60,21.694107694547192,4.37613246519071,35.09207484589705,-0.0004566210045662
182,142,5,115,24.86542175507672,4.957635652723458,30.235543951723656,-0.0005707762557077
178,141,5,110,24.371810839035255,4.888020420343235,29.821654010973525,-0.0010273972602739
149,160,6,55,20.912763649676677,4.268472494984791,34.12554922333891,-0.0013698630136986
174,140,5,105,23.87019350187907,4.817724121926445,29.408752558087812,-0.0013698630136986
172,242,9,15,23.55781511449723,3.372536763562039,62.39956861217111,-0.0014840182648401
141,186,7,35,19.899572502294347,4.039022154325042,41.66521290683033,-0.0015981735159817
170,139,5,100,23.35997380558123,4.746710228537238,28.99679327904401,-0.0018264840182648
164,138,5,95,22.840485849410054,4.674939766672036,28.585731311571376,-0.002283105022831
145,159,6,50,20.110255953218136,4.159787133066608,33.16963172663243,-0.0029680365296803
125,213,8,20,18.249456629254535,3.7560297982676056,48.815126708057896,-0.0035388127853881
159,137,5,90,22.31098191706015,4.6023712414451765,28.175524875283006,-0.0043378995433789
130,185,7,30,18.754075787215417,3.885381608585323,39.66724422698628,-0.0061643835616438
135,158,6,45,19.2833049286224,4.050058651911758,32.224706913662324,-0.0079908675799086
156,136,5,85,21.77061789177689,4.528960623635866,27.766137642141477,-0.0083333333333333
151,135,5,80,21.21843511610735,4.454661444618095,27.357542192191865,-0.0117579908675799
147,134,5,75,20.653337557520427,4.3794250691951095,26.94972508174417,-0.0158675799086757
127,157,6,40,18.427777244290915,3.9393037359188305,31.291469809936313,-0.0181506849315068
118,184,7,25,17.5610935143765,3.7318034099825814,37.72813228640453,-0.0200913242009132
144,133,5,70,20.07406267478343,4.303201258786026,26.542694345210936,-0.0226027397260273
180,241,9,10,24.612378060785485,2.9275229527233377,56.59053137931476,-0.0263698630136986
110,212,8,15,16.618865005591786,3.549725337001195,45.114686856383365,-0.0276255707762557
137,132,5,65,19.47914367556869,4.225939207922088,26.13649073829029,-0.0348173515981735
117,156,6,35,17.538338942968885,3.8276022432935712,30.371152177102143,-0.0353881278538812
132,131,5,60,18.866859761549495,4.1475893568651365,25.731204856966627,-0.0454337899543378
105,183,7,20,16.305402724240007,3.5791366011100267,35.856007494267786,-0.0462328767123287
109,155,6,30,16.607899275505844,3.715150831594439,29.46595158145537,-0.05662100456621
123,130,5,55,18.235169207724873,4.068106492222884,25.32700371793935,-0.0581050228310502
173,119,4,150,23.849754736436143,5.050085463576487,23.389749336984146,-0.0606164383561643
171,118,4,145,23.497102949122308,5.002552315097186,23.23841873538007,-0.0649543378995433
167,117,4,140,23.13905600979966,4.95449231852444,23.08675521832739,-0.0678082191780821
163,116,4,135,22.77533273483377,4.905882161909582,22.934741412347396,-0.0714611872146118
160,115,4,130,22.405628277829027,4.856696960787919,22.78235996305356,-0.0775114155251141
119,129,5,50,17.581617228135173,3.98745502321215,24.92417302501406,-0.0812785388127853
98,154,6,25,15.626664301566429,3.602368160190135,28.57990166057372,-0.0824200913242009
157,114,4,125,22.02961125777835,4.806910125231151,22.629593753824096,-0.0827625570776255
154,113,4,120,21.64692041720765,4.756493216521513,22.476426201890096,-0.0881278538812785
152,112,4,115,21.257160711113176,4.7054157939588475,22.322841658113063,-0.0916666666666666
148,111,4,110,20.859898700913753,4.653645253250218,22.168825946604976,-0.0949771689497716
146,110,4,105,20.454657093568905,4.601146659303589,22.014367094220816,-0.1004566210045662
90,182,7,15,14.962680694072256,3.429178204373416,34.068226472520415,-0.1037671232876712
142,109,4,100,20.040908218748218,4.547882578604204,21.859456320197015,-0.1046803652968036
112,128,5,45,16.90320559935426,3.9056180213741816,24.52318635349466,-0.1052511415525114
138,108,4,95,19.618066174785525,4.493812919847292,21.704089385386837,-0.107648401826484
134,107,4,90,19.185477286316893,4.438894797327208,21.54826844445801,-0.1133561643835616
129,106,4,85,18.74240839697299,4.383082440424136,21.392004609610833,-0.1197488584474885
84,153,6,20,14.580396245983952,3.490116328753641,27.72080151874203,-0.1234018264840182
104,127,5,40,16.196202041852583,3.822612971468699,24.12482246125434,-0.1267123287671232
126,105,4,80,18.288032346207423,4.32632718716887,21.23532153512532,-0.1278538812785388
121,104,4,75,17.821409733220367,4.268577623279645,21.078260490232715,-0.1352739726027397
116,103,4,70,17.341465697850587,4.209779966530217,20.920887638046636,-0.1434931506849315
96,126,5,35,15.455850322136197,3.738519959468782,23.730372985577404,-0.1486301369863013
111,102,4,65,16.846959894349553,4.149878861284405,20.76330465457001,-0.1511415525114155
106,101,4,60,16.336446962263246,4.088818858319229,20.605664515995812,-0.1600456621004566
99,100,4,55,15.808223425583927,4.026547047501978,20.44819550329663,-0.1697488584474885
107,211,8,10,16.341411191436883,3.202733761874996,41.105532778115005,-0.1711187214611872
87,125,5,30,14.675907496203974,3.6535340484551906,23.342030533640408,-0.1721461187214612
93,99,4,50,15.26025463889383,3.9630176623236606,20.29123869729866,-0.1797945205479452
272,270,10,5,51.411108488396685,2.161323048115505,87.27031395696038,-0.1828767123287671
88,98,4,45,14.690071370954044,3.8982001325124886,20.13530818616568,-0.1900684931506849
78,124,5,25,13.8478579273544,3.5680678889024753,22.963665562953977,-0.197945205479452
80,97,4,40,14.094618536279183,3.8320933246505167,19.981191900759008,-0.2038812785388127
74,96,4,35,13.470025167065875,3.764751302139548,19.830127412199687,-0.2240867579908675
67,95,4,30,12.811235772679328,3.6963317740562793,19.684126820005833,-0.255593607305936
143,89,3,150,20.05795311484613,4.992010960025285,18.755755833441413,-0.2676940639269406
139,88,3,145,19.766975044904537,4.954227526236268,18.706272131486756,-0.2691780821917808
136,87,3,140,19.47126042454248,4.915883861358377,18.65656691431838,-0.2721461187214611
133,86,3,135,19.17058603975981,4.876954108443985,18.60663885156793,-0.2746575342465753
131,85,3,130,18.86471063274919,4.8374105345639,18.556487540035544,-0.2771689497716895
128,84,3,125,18.553372736375852,4.797223354155621,18.50611376745539,-0.2792237442922374
124,83,3,120,18.236288152758796,4.756360534350313,18.455519848764833,-0.2811643835616438
122,82,3,115,17.913147007608472,4.71478758085995,18.40471005797116,-0.2850456621004566
120,81,3,110,17.58361024795827,4.6724673054413195,18.35369118164151,-0.2875570776255708
115,80,3,105,17.24730551898794,4.629359571971197,18.302473241251818,-0.291324200913242
113,79,3,100,16.9038223848607,4.5854210133078315,18.2510704487284,-0.2933789954337899
108,78,3,95,16.552706148354844,4.540604762175872,18.199502441181014,-0.2957762557077625
103,77,3,90,16.193451196595927,4.49486011612721,18.147795995595335,-0.2994292237442922
69,123,5,20,12.959473448722758,3.482966568504776,22.602524918027378,-0.3039954337899543
